alpha,trial,clean_survival,outlier_survival,overall_survival,dB_H1,n_survivors
0.0,0,0.45666666666666667,0,0.45666666666666667,0.32744865864515305,137
0.0,1,0.4266666666666667,0,0.4266666666666667,0.35124479979276657,128
0.0,2,0.43666666666666665,0,0.43666666666666665,0.48341643065214157,131
0.0,3,0.4533333333333333,0,0.4533333333333333,0.61807706579566,136
0.0,4,0.4633333333333333,0,0.4633333333333333,0.61807706579566,139
0.0,5,0.44,0,0.44,0.5722920820116997,132
0.0,6,0.46,0,0.46,0.61807706579566,138
0.0,7,0.43333333333333335,0,0.43333333333333335,0.5256199166178703,130
0.0,8,0.43666666666666665,0,0.43666666666666665,0.45897602289915085,131
0.0,9,0.43,0,0.43,0.37552737444639206,129
0.05,0,0.47333333333333333,0.0,0.4507936507936508,0.32744865864515305,142
0.05,1,0.46,0.0,0.4380952380952381,0.35124479979276657,138
0.05,2,0.4766666666666667,0.0,0.45396825396825397,0.34809132665395737,143
0.05,3,0.4633333333333333,0.0,0.44126984126984126,0.61807706579566,139
0.05,4,0.48,0.0,0.45714285714285713,0.61807706579566,144
0.05,5,0.4166666666666667,1.0,0.4444444444444444,0.5722920820116997,140
0.05,6,0.5,0.0,0.47619047619047616,0.61807706579566,150
0.05,7,0.48,0.0,0.45714285714285713,0.5256199166178703,144
0.05,8,0.4766666666666667,0.0,0.45396825396825397,0.4138653501868248,143
0.05,9,0.48333333333333334,0.0,0.4603174603174603,0.3174729645252228,145
0.1,0,0.3933333333333333,1.0,0.45345345345345345,0.4085482880473137,151
0.1,1,0.4033333333333333,1.0,0.4624624624624625,0.465087465941906,154
0.1,2,0.3933333333333333,1.0,0.45345345345345345,0.48341643065214157,151
0.1,3,0.39,1.0,0.45045045045045046,0.61807706579566,150
0.1,4,0.35,1.0,0.4144144144144144,0.61807706579566,138
0.1,5,0.4,1.0,0.4594594594594595,0.5769301578402519,153
0.1,6,0.4,1.0,0.4594594594594595,0.61807706579566,153
0.1,7,0.36666666666666664,1.0,0.4294294294294294,0.61807706579566,143
0.1,8,0.4033333333333333,1.0,0.4624624624624625,0.5444911047816277,154
0.1,9,0.38,1.0,0.44144144144144143,0.4940267726778984,147
0.15000000000000002,0,0.36,1.0,0.45454545454545453,0.4085482880473137,160
0.15000000000000002,1,0.36333333333333334,1.0,0.45738636363636365,0.465087465941906,161
0.15000000000000002,2,0.37333333333333335,1.0,0.4659090909090909,0.48341643065214157,164
0.15000000000000002,3,0.36333333333333334,1.0,0.45738636363636365,0.61807706579566,161
0.15000000000000002,4,0.33,1.0,0.4289772727272727,0.61807706579566,151
0.15000000000000002,5,0.37666666666666665,1.0,0.46875,0.5769301578402519,165
0.15000000000000002,6,0.38,1.0,0.4715909090909091,0.61807706579566,166
0.15000000000000002,7,0.3566666666666667,1.0,0.45170454545454547,0.61807706579566,159
0.15000000000000002,8,0.37,1.0,0.4630681818181818,0.5680511519312859,163
0.15000000000000002,9,0.3433333333333333,1.0,0.4403409090909091,0.5123021528124809,155
0.2,0,0.33666666666666667,1.0,0.4693333333333333,0.5753559991717339,176
0.2,1,0.33666666666666667,1.0,0.4693333333333333,0.576151542365551,176
0.2,2,0.3233333333333333,1.0,0.45866666666666667,0.61807706579566,172
0.2,3,0.3233333333333333,1.0,0.45866666666666667,0.61807706579566,172
0.2,4,0.31333333333333335,1.0,0.45066666666666666,0.61807706579566,169
0.2,5,0.31666666666666665,1.0,0.4533333333333333,0.5769301578402519,170
0.2,6,0.32,1.0,0.456,0.61807706579566,171
0.2,7,0.32666666666666666,1.0,0.4613333333333333,0.61807706579566,173
0.2,8,0.31333333333333335,1.0,0.45066666666666666,0.5685036703944206,169
0.2,9,0.3233333333333333,1.0,0.45866666666666667,0.5123021528124809,172
0.25,0,0.31,1.0,0.4825,0.5753559991717339,193
0.25,1,0.28,1.0,0.46,0.5796577259898186,184
0.25,2,0.2866666666666667,1.0,0.465,0.61807706579566,186
0.25,3,0.30333333333333334,1.0,0.4775,0.61807706579566,191
0.25,4,0.2866666666666667,1.0,0.465,0.61807706579566,186
0.25,5,0.29333333333333333,1.0,0.47,0.61807706579566,188
0.25,6,0.27,1.0,0.4525,0.61807706579566,181
0.25,7,0.2733333333333333,1.0,0.455,0.61807706579566,182
0.25,8,0.2733333333333333,1.0,0.455,0.61807706579566,182
0.25,9,0.2966666666666667,1.0,0.4725,0.5123021528124809,189
0.30000000000000004,0,0.23333333333333334,1.0,0.46261682242990654,0.5867175385355949,198
0.30000000000000004,1,0.23666666666666666,1.0,0.4649532710280374,0.61807706579566,199
0.30000000000000004,2,0.24333333333333335,1.0,0.4696261682242991,0.61807706579566,201
0.30000000000000004,3,0.27,1.0,0.4883177570093458,0.61807706579566,209
0.30000000000000004,4,0.23666666666666666,1.0,0.4649532710280374,0.61807706579566,199
0.30000000000000004,5,0.25,1.0,0.4742990654205608,0.61807706579566,203
0.30000000000000004,6,0.24666666666666667,1.0,0.4719626168224299,0.61807706579566,202
0.30000000000000004,7,0.23333333333333334,1.0,0.46261682242990654,0.61807706579566,198
0.30000000000000004,8,0.24,1.0,0.4672897196261682,0.61807706579566,200
0.30000000000000004,9,0.24,1.0,0.4672897196261682,0.61807706579566,200
0.35000000000000003,0,0.18666666666666668,1.0,0.47071583514099785,0.61807706579566,217
0.35000000000000003,1,0.19666666666666666,1.0,0.4772234273318872,0.61807706579566,220
0.35000000000000003,2,0.18,1.0,0.46637744034707157,0.61807706579566,215
0.35000000000000003,3,0.18333333333333332,1.0,0.4685466377440347,0.61807706579566,216
0.35000000000000003,4,0.2,1.0,0.4793926247288503,0.61807706579566,221
0.35000000000000003,5,0.18666666666666668,1.0,0.47071583514099785,0.61807706579566,217
0.35000000000000003,6,0.20333333333333334,1.0,0.48156182212581344,0.61807706579566,222
0.35000000000000003,7,0.18666666666666668,1.0,0.47071583514099785,0.61807706579566,217
0.35000000000000003,8,0.19666666666666666,1.0,0.4772234273318872,0.61807706579566,220
0.35000000000000003,9,0.18,1.0,0.46637744034707157,0.61807706579566,215
0.4,0,0.13333333333333333,1.0,0.48,0.61807706579566,240
0.4,1,0.10666666666666667,1.0,0.464,0.61807706579566,232
0.4,2,0.13,1.0,0.478,0.61807706579566,239
0.4,3,0.14666666666666667,1.0,0.488,0.61807706579566,244
0.4,4,0.14,1.0,0.484,0.61807706579566,242
0.4,5,0.12666666666666668,1.0,0.476,0.61807706579566,238
0.4,6,0.10333333333333333,1.0,0.462,0.61807706579566,231
0.4,7,0.11333333333333333,1.0,0.468,0.61807706579566,234
0.4,8,0.14,1.0,0.484,0.61807706579566,242
0.4,9,0.10666666666666667,1.0,0.464,0.61807706579566,232
0.45,0,0.07333333333333333,1.0,0.48990825688073397,0.61807706579566,267
0.45,1,0.07666666666666666,1.0,0.4917431192660551,0.61807706579566,268
0.45,2,0.056666666666666664,1.0,0.48073394495412847,0.61807706579566,262
0.45,3,0.06666666666666667,1.0,0.48623853211009177,0.61807706579566,265
0.45,4,0.07333333333333333,1.0,0.48990825688073397,0.61807706579566,267
0.45,5,0.07666666666666666,1.0,0.4917431192660551,0.61807706579566,268
0.45,6,0.05333333333333334,1.0,0.47889908256880737,0.61807706579566,261
0.45,7,0.07666666666666666,1.0,0.4917431192660551,0.61807706579566,268
0.45,8,0.07666666666666666,1.0,0.4917431192660551,0.61807706579566,268
0.45,9,0.06666666666666667,1.0,0.48623853211009177,0.61807706579566,265
0.5,0,0.0,1.0,0.5,0.61807706579566,300
0.5,1,0.0,1.0,0.5,0.61807706579566,300
0.5,2,0.0,1.0,0.5,0.61807706579566,300
0.5,3,0.0,1.0,0.5,0.61807706579566,300
0.5,4,0.0,1.0,0.5,0.61807706579566,300
0.5,5,0.0,1.0,0.5,0.61807706579566,300
0.5,6,0.0,1.0,0.5,0.61807706579566,300
0.5,7,0.0,1.0,0.5,0.61807706579566,300
0.5,8,0.0,1.0,0.5,0.61807706579566,300
0.5,9,0.0,1.0,0.5,0.61807706579566,300
